id,en,fr,de,it,desc_en,desc_fr,desc_de,desc_it
i1,Traffic type,Type de trafic,Verkehrsart,Tipo di traffico,"For definition of Class and Class+ traffic, refer to ASTRA 82001 §4.3","Pour la définition du trafic Class et Class+, se référer à ASTRA 82001 §4.3",Für die Definition von Class- und Class+-Verkehr siehe ASTRA 82001 §4.3,Per la definizione di Class e Class+ si faccia riferimento a ASTRA 82001 §4.3
i2,Good road quality?,Bonne qualité de la route ?,Gute Fahrbahnqualität?,Strada di buona qualità?,"For definition of road quality, refer to standard SN 40 525","Pour la définition de la qualité des routes, se référer à la norme SN 40 525","Zur Definition der Strassenqualität siehe Norm SN  ""VSS 40 525 (2019) : Eigenschaften der Fahrbahnoberflächen - Anforderungen""",Per la definizione della qualità della strada si faccia riferimento allo standard SN 40 525
i3,REL,R-BAU,PUN,Corsia di emergenza aperta al traffico?,Is the reaffected emergency lane allowed to be used for regular traffic under any circumstances?,La bande d'arrêt d'urgence réaffectée peut-elle en tout état de cause être utilisée pour la circulation normale ?,Darf der wiederhergestellte Pannenstreifen unter allen Umständen für den regulären Verkehr genutzt werden?,È possibile che la corsia di emergenza sia aperta al traffico normale?
i4,"?Q2, local","?Q2, local","?Q2, lokal","?Q2, local",This value is to be used for punching shear verifications and other local verifications. Refer to ASTRA 82001 §7.2.2,Cette valeur doit être utilisée pour les vérifications du poinçonnement et autres vérifications locales. Voir ASTRA 82001 §7.2.2,Dieser Wert ist für Durchstanznachweise und andere lokale Nachweise zu verwenden. Siehe ASTRA 82001 §7.2.2,Questo valore deve essere usato per la verifica al punzonamento ed ogni altra verifica locale. Si faccia riferimento a ASTRA 82001 §7.2.2
i5,"?Q2, global","?Q2, global","?Q2, global","?Q2, global","This value is to be used for all global verifications (shear, moments, etc.).","Cette valeur doit être utilisée pour toutes les vérifications globales ( effort tranchant, moments, etc.).","Dieser Wert ist für alle globalen Nachweise (Schub, Momente usw.) zu verwenden.","Questo valore deve essere usato per tutte le verifiche globali (taglio, momento, etc.)."
i6,Lane configuration,Configuration des voies des chaussées,Fahrspuranordnung,Configurazione corsie,Refer to ASTRA 82001 §5.3.4,Voir ASTRA 82001 §5.3.4,Siehe ASTRA 82001 §5.3.4,Si faccia riferimento a ASTRA 82001 §5.3.4
i7,? = 4.2,? = 4.2,? = 4.2,? = 4.2,"The default value of 4.2 for the target reliability index correspond to an average case. For the choice of ?, refer to SIA 269 Appendix B. For additional information on other ? values refer to ASTRA 82001 Annexe III.","La valeur par défaut de 4.2 pour l'indice de fiabilité cible correspond à un cas moyen. Pour le choix de ?, se référer à la SIA 269 Annexe B. Pour des informations complémentaires sur d'autres valeurs ?, voir ASTRA 82001 Annexe III.","Der Standardwert von 4,.2 für den Zielzuverlässigkeitsindex entspricht einem Normalfall. Zur Wahl von ? siehe SIA 269 Anhang B. Weitere Informationen zu anderen ?-Werten finden Sie in ASTRA 82001 Anhang III.",Il valore di default 4.2 per l'indice di affidabilità target corrisponde ad un tipo di situazione media. Per la scelta di b si faccia riferimento a SIA 269 Appendice B. Per ulteriori informazioni su altri valori di b si faccia riferimento a ASTRA 82001 Annexe III.
i8,Cantilever/Slab between beams,Porte-à-faux/Slab entre poutres,Kragarm/Platte zwischen Balken,Sbalzo-Piastra tra le travi,"Both verifications required. For details and definitions refer to L. Mathevet & A. Nussbaumer, Modélisation des dalles de roulement des ponts-poutres, Documentation 82001, Rapport annexe n° 306891-3 (2024 V1.02), 2024, §2.1","Les deux vérifications sont nécessaires. Pour plus de détails et de définitions, voir L. Mathevet & A. Nussbaumer,  Modélisation des dalles de roulement des ponts-poutres, Documentation 82001, Rapport annexe n° 306891-3 (2024 V1.02), 2024, §2.1","Beidem Überprüfungen sind erforderlich. Für Details und Definitionen beziehen Sie sich auf L. Mathevet & A. Nussbaumer, Modélisation des dalles de roulement des ponts-poutres, Documentation 82001, Rapport annexe n° 306891-3 (2024 V1.02), 2024, §2.1","Entrambe le verifiche sono necessarie. Per ulteriori dettagli e definizioni si faccia riferimento a  L. Mathevet & A. Nussbaumer, Modélisation des dalles de roulement des ponts-poutres, Documentation 82001, Rapport annexe n° 306891-3 (2024 V1.02), 2024, §2.1"
i9,Action effects for longitudinal verification,Effets d'action pour la vérification longitudinale,"Auswirkungen für die Überprüfung
 in Längsrichtung",Effetto delle sollecitazioni per verifica longitudinale,"The action effects to be considered for longitudinal verification are the following:
- Flexural moment M-  [kNm] at supports
- Flexural moment M+ [kNm] at midspan
- Shear force V  [kN] near support","Les effets d'action à considérer pour la vérification longitudinale sont les suivants :
- Moment de flexion M- [kNm] aux appuis
- Moment de flexion M+ [kNm] à mi-portée
- Effort de cisaillement V [kN] près des appuis","Die folgenden Auswirkungen sind bei der Überprüfung in Längsrichtung zu berücksichtigen:
- Biegemoment M- [kNm] an den Auflagern
- Biegemoment M+ [kNm] in Feldmitte
- Querkraft V [kN] in der Nähe des Auflagers",Nella verifica longitudinale devono essere considerati i seguenti effetti delle sollecitazioni:                                                                    -Momento flettente M- [kNm] ai supporti                -Momento flettente M+ [kNm] in mezzeria                                                                                    -Taglio V [kN] vicino ai supporti
i10,Action effects for transversal verification,Effets d'action pour la vérification transversale,"Auswirkungen für die Überprüfung
 in Querrichtung",Effetto delle sollecitazioni per verifica trasversale,"The action effects to be considered for transversal verification of beam and box beam bridges are the following:
- Flexural moment M-  [kNm] at supports
- Flexural moment M+ [kNm] at midspan (only for slab between beams)
- Shear force V  [kN] near support
The action effects to be considered for transversal verification of slab bridges are the following:
- Transversal moment at midspan, Mx,Mid [kNm/m]
- Transversal moment at edges, Mx,Edg [kNm/m]","Les effets d'action à prendre en compte pour la vérificatione des ponts à poutres et à caissons dans le sens transversal sont les suivants :
- Moment de flexion M- [kNm] aux appuis
- Moment de flexion M+ [kNm] à mi-portée (uniquement pour la dalle entre les poutres)
- Effort tranchant V [kN] près de l'appui
Les effets d'action à prendre en compte pour la vérification des ponts dalles dans le sens transversal sont les suivants :
- Moment transversal à mi-portée, Mx,Mid [kNm/m]
- Moment transversal aux bords, Mx,Edg [kNm/m]","Die folgenden Auswirkungen sind für den Nachweis der Querträger und Hohlkastenbrücken in Querrichtung zu berücksichtigen:
- Biegemoment M- [kNm] an den Auflagern
- Biegemoment M+ [kNm] in Feldmitte (nur für Platten zwischen Trägern)
- Querkraft V [kN] in der Nähe des Auflagers
Die folgenden Auswirkungen sind für den Nachweis von Plattenbrücken in Querrichtung zu berücksichtigen:
- Quermoment in Feldmitte, Mx,Mid [kNm/m]
- Quermoment an den Rändern, Mx,Edg [kNm/m]","Nella verifica trasversale dei ponti a trave e a cassone devono essere considerati i seguenti effetti delle sollecitazioni:                                                                    -Momento flettente M- [kNm] ai supporti                -Momento flettente M+ [kNm] in mezzeria (solo per il caso di piastra tra le travi)                                                                       -Taglio V [kN] vicino ai supporti                                                   Nella verifica trasversale dei ponti a piastra devono essere considerati i seguenti effetti delle sollecitazioni:                                                                          -Momento trasversale in mezzeria Mx,Mid [kNm/m]                                                                                 -Momento trasversale ai supporti Mx,Edg [kNm/m]"
