Verification type,Type,SubType,Lane configuration,Width,Support,Positioning of internal forces influence line,Action effect,Span,"?Q1,global","?Q2,global","?q,global Class+","?q,global Class","?Q1,local","?Q2,local"
Longitudinal,Box,Composite,Uni2L,12,Simp,p0,V,20,0.55,0.35,0.38258716,0.22219018,0.55,0.4
Longitudinal,Box,Composite,Uni2L,12,Simp,p0,V,30,0.55,0.35,0.364274848,0.211502014,0.55,0.4
Longitudinal,Box,Composite,Uni2L,12,Simp,p0,V,40,0.55,0.35,0.327135688,0.211794739,0.55,0.4
Longitudinal,Box,Composite,Uni2L,12,Simp,p0,V,50,0.55,0.35,0.295909285,0.210127902,0.55,0.4
Longitudinal,Box,Composite,Uni2L,12,Simp,p0,V,60,0.55,0.35,0.27095563,0.206011284,0.55,0.4
Longitudinal,Box,Composite,Uni2L,12,Simp,p0,V,70,0.55,0.35,0.251763803,0.200938343,0.55,0.4
Longitudinal,Box,Composite,Uni2L,12,Simp,p0,V,80,0.55,0.35,0.236684427,0.195810486,0.55,0.4
Longitudinal,Box,Composite,Uni2L,12,Simp,p0,Mp,20,0.55,0.35,0.339644735,0.128081659,0.55,0.4
Longitudinal,Box,Composite,Uni2L,12,Simp,p0,Mp,30,0.55,0.35,0.339214403,0.171670084,0.55,0.4
Longitudinal,Box,Composite,Uni2L,12,Simp,p0,Mp,40,0.55,0.35,0.306430388,0.173911247,0.55,0.4
Longitudinal,Box,Composite,Uni2L,12,Simp,p0,Mp,50,0.55,0.35,0.273913443,0.167735576,0.55,0.4
Longitudinal,Box,Composite,Uni2L,12,Simp,p0,Mp,60,0.55,0.35,0.247605567,0.164541982,0.55,0.4
Longitudinal,Box,Composite,Uni2L,12,Simp,p0,Mp,70,0.55,0.35,0.2275762,0.163711989,0.55,0.4
Longitudinal,Box,Composite,Uni2L,12,Simp,p0,Mp,80,0.55,0.35,0.212134522,0.129109248,0.55,0.4
Longitudinal,Box,Composite,Uni2L,12,Simp,p0,Mn,20,0.55,0.35,0.297520957,0.169554541,0.55,0.4
Longitudinal,Box,Composite,Uni2L,12,Simp,p0,Mn,30,0.55,0.35,0.281046696,0.214219347,0.55,0.4
Longitudinal,Box,Composite,Uni2L,12,Simp,p0,Mn,40,0.55,0.35,0.255039989,0.213676053,0.55,0.4
Longitudinal,Box,Composite,Uni2L,12,Simp,p0,Mn,50,0.55,0.35,0.225395459,0.194611924,0.55,0.4
Longitudinal,Box,Composite,Uni2L,12,Simp,p0,Mn,60,0.55,0.35,0.204561874,0.181683646,0.55,0.4
Longitudinal,Box,Composite,Uni2L,12,Simp,p0,Mn,70,0.55,0.35,0.190378641,0.173424582,0.55,0.4
Longitudinal,Box,Composite,Uni2L,12,Simp,p0,Mn,80,0.55,0.35,0.180491489,0.167076453,0.55,0.4
Longitudinal,Box,Composite,Bi2L,12,Simp,p0,V,20,0.55,0.35,0.120137157,0.116631984,0.55,0.4
Longitudinal,Box,Composite,Bi2L,12,Simp,p0,V,30,0.55,0.35,0.197808974,0.177509522,0.55,0.4
Longitudinal,Box,Composite,Bi2L,12,Simp,p0,V,40,0.55,0.35,0.229336597,0.170354057,0.55,0.4
Longitudinal,Box,Composite,Bi2L,12,Simp,p0,V,50,0.55,0.35,0.206659631,0.157221333,0.55,0.4
Longitudinal,Box,Composite,Bi2L,12,Simp,p0,V,60,0.55,0.35,0.162709038,0.149944139,0.55,0.4
Longitudinal,Box,Composite,Bi2L,12,Simp,p0,V,70,0.55,0.35,0.152236216,0.147926638,0.55,0.4
Longitudinal,Box,Composite,Bi2L,12,Simp,p0,V,80,0.55,0.35,0.147364862,0.150987322,0.55,0.4
Longitudinal,Box,Composite,Bi2L,12,Simp,p0,Mp,20,0.55,0.35,-0.025943691,0.019781416,0.55,0.4
Longitudinal,Box,Composite,Bi2L,12,Simp,p0,Mp,30,0.55,0.35,0.105414243,0.151619612,0.55,0.4
Longitudinal,Box,Composite,Bi2L,12,Simp,p0,Mp,40,0.55,0.35,0.177122777,0.152961767,0.55,0.4
Longitudinal,Box,Composite,Bi2L,12,Simp,p0,Mp,50,0.55,0.35,0.185534688,0.143166532,0.55,0.4
Longitudinal,Box,Composite,Bi2L,12,Simp,p0,Mp,60,0.55,0.35,0.169530872,0.132567158,0.55,0.4
Longitudinal,Box,Composite,Bi2L,12,Simp,p0,Mp,70,0.55,0.35,0.15676845,0.125658015,0.55,0.4
Longitudinal,Box,Composite,Bi2L,12,Simp,p0,Mp,80,0.55,0.35,0.132832386,0.122417422,0.55,0.4
Longitudinal,Box,Composite,Bi2L,12,Simp,p0,Mn,20,0.55,0.35,0.131158114,0.126650562,0.55,0.4
Longitudinal,Box,Composite,Bi2L,12,Simp,p0,Mn,30,0.55,0.35,0.165561297,0.153481438,0.55,0.4
Longitudinal,Box,Composite,Bi2L,12,Simp,p0,Mn,40,0.55,0.35,0.157366027,0.149469696,0.55,0.4
Longitudinal,Box,Composite,Bi2L,12,Simp,p0,Mn,50,0.55,0.35,0.137013057,0.126297551,0.55,0.4
Longitudinal,Box,Composite,Bi2L,12,Simp,p0,Mn,60,0.55,0.35,0.118372122,0.118270414,0.55,0.4
Longitudinal,Box,Composite,Bi2L,12,Simp,p0,Mn,70,0.55,0.35,0.117858204,0.117357706,0.55,0.4
Longitudinal,Box,Composite,Bi2L,12,Simp,p0,Mn,80,0.55,0.35,0.132028865,0.119404744,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,V,20,0.55,0.35,0.363054633,0.279773112,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,V,30,0.55,0.35,0.346099708,0.290398037,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,V,40,0.55,0.35,0.314423614,0.275657655,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,V,50,0.55,0.35,0.285987891,0.211771862,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,V,60,0.55,0.35,0.265490536,0.204404891,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,V,70,0.55,0.35,0.211888757,0.197498708,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,V,80,0.55,0.35,0.202990258,0.191841448,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mp,20,0.55,0.35,0.262060696,0.252276693,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mp,30,0.55,0.35,0.342671421,0.283279474,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mp,40,0.55,0.35,0.310960213,0.26947498,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mp,50,0.55,0.35,0.27985506,0.248894041,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mp,60,0.55,0.35,0.255492421,0.231206704,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mp,70,0.55,0.35,0.235957585,0.178601827,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mp,80,0.55,0.35,0.220988264,0.171831776,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mn,20,0.55,0.35,0.234728157,0.242348195,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mn,30,0.55,0.35,0.228079333,0.205144269,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mn,40,0.55,0.35,0.212971504,0.200475596,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mn,50,0.55,0.35,0.197325497,0.189598317,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mn,60,0.55,0.35,0.184977516,0.180461268,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mn,70,0.55,0.35,0.175164259,0.171980752,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mn,80,0.55,0.35,0.167184639,0.165030387,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,V,20,0.55,0.35,0.465104118,0.239465295,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,V,30,0.55,0.35,0.400943381,0.220978897,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,V,40,0.55,0.35,0.335643108,0.200127757,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,V,50,0.55,0.35,0.288321832,0.187949007,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,V,60,0.55,0.35,0.27516021,0.178206457,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,V,70,0.55,0.35,0.269694473,0.171744112,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,V,80,0.55,0.35,0.242684751,0.169444693,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,Mp,20,0.55,0.35,0.415110539,0.207692391,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,Mp,30,0.55,0.35,0.373974855,0.199307219,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,Mp,40,0.55,0.35,0.319968312,0.173070832,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,Mp,50,0.55,0.35,0.275617118,0.154313284,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,Mp,60,0.55,0.35,0.245536975,0.142568132,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,Mp,70,0.55,0.35,0.221596461,0.135302163,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,Mp,80,0.55,0.35,0.201514199,0.13140086,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,Mn,20,0.55,0.35,0.310751,0.200706387,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,Mn,30,0.55,0.35,0.317742361,0.194122822,0.55,0.4
